word,meaning
gray," n.灰色； 灰马； 灰色颜料； 暗淡的光线
adj.灰色的； 灰白头发的； 阴暗的； （指脸因恐惧、生病等）苍白的
v.（使）变灰色
vi.成为灰色或灰白"
gravitational, adj. 重力的，引力作用的
gravel," n. 碎石
v. 铺碎石, 使困惑"
float," n. 漂流物,装有轮子的展台或平板车,企业的日常零钱
vt. 使漂浮,提出,开办新公司,洽谈
vi. 漂浮,游荡,飘"
flask," n. 细颈瓶, 烧瓶, 小水瓶"
fantasy," n. 幻想
v. 幻想"
external," n. 外部
adj. 外部的,外用的,客观的,表面的"
exterior," n. 外部, 表面, 外型
adj. 外部的, 外在的, 表面的
[计算机] 外部的"
expert," adj. 熟练的,内行的
n. 专家,能手
vi. 当专家"
evergreen," adj. 常绿的
n. 常绿树, 常绿植物
(复数）evergreens: 常绿树枝条"
eruption," n. 爆发,喷发，出疹，长牙"
elsewhere," adv. 在别处, 到别处"
elliptical, adj. 椭圆的，省略的，简要的
ease," n. 安乐,安逸,悠闲
vt. 使...安乐,使...安心
v. 减轻,放松"
droplet, n. 小滴，飞沫
domesticate," vt. 驯养, 使专注于家务, 教化
n. 家禽，(家养)植物"
disturb," vt. &vi. 扰乱,妨碍,使...不安"
undisturbed," adj. 未受干扰的，安静的, 镇定的"
disturbance," n. 扰乱,骚动"
distort," vt. 变形,扭曲,歪曲
vi. 歪曲"
disgust," n. 厌恶,嫌恶
vt. &vi. 令人厌恶"
depletion," n. 消耗,罄尽,放血"
deplete," vt. 耗尽,使...空竭"
decipher, vt. 译解
cure," n. 治疗,治愈,治疗法
vt. &vi. 治疗,治愈,改正"
criterion," n. 标准, 准则"
context," n. 上下文, 环境,背景"
confuse," vt. 混乱,狼狈,困惑"
confusion," n. 混乱,混淆,不确定状态"
compress," vt. 压缩, 压榨
n. [医]敷布"
closet," n. 壁橱,衣帽间
adj.（用于名词前）隐藏（身分等）的；不公开（个人信息）的
vt. 把…关在房间里（尤指为了私下会谈或避免他人打扰）"
carpenter," n. 木匠
v. 做木工活"
career," n. 生涯, 职业, 事业
vi. 猛冲, 飞跑
vt. 在...中急行"
calculate," vt. 计算,估计,考虑,推测
vi. 计算,预测,依赖"
calculation, n. 计算
bureau," n. 局, 办公处"
bombard, v. 炮击
compression," n. 压缩, 压榨, 缩小"
beach," n. 海滩
v. 拖(船)上岸
vt. 使船冲上滩"
backup," n. 后备,后备"
backbone," n. 脊椎, 志气"
autonomous, adj. 自治的
automatically," adj. 不经思索的
adv. 自动地"
attentive," adj. 注意的, 留意的"
attach," v. 附上, 系上, 贴上, 使依恋"
attachment," n. 附件, 附著, 附属物, 依恋, 忠诚，依赖
[法律]扣押令"
aristocrat, n. 贵族，有贵族气派的人，最优秀者
aristocracy," n. 贵族,贵族社会,高级知识份子"
arc," n. 弧,弧形物
vi. 形成电弧,按弧形轨迹行进"
analogy," n. 相似,类似，类比"
alpine," adj. 高山的, 阿尔卑斯山的"
alkali, n. 碱
advertise," vi. 登广告
vt. 为...做广告, 宣传"
advertisement, n.&amp;adv. 广告
admire," vt. 钦佩, 羡慕, 赞美"
weave," n. 编法, 织法, 编织
v. 编织, 组合, 编排"
workshop," n. 车间, 工场, 研讨会, 讲习班"
vulnerable," adj. 易受伤害的, 有弱点的"
violent," adj. 暴力的,猛烈的,极端的,曲解的"
vase, n. 花瓶
trolley,n. 电车
tribal," adj. 部落的, 种族的"
trance," n.  恍惚, 昏睡状态，出神，发呆
v. 使恍惚, 使狂喜，使出神"
trample," n. 踩踏
v. 践踏, 轻视"
thrust," n. 推力,刺,力推
vt.& vi. 插入,推挤,刺"
thread," n. 线,纤维,思路,线索, 螺纹
vt. 穿线于,穿过,成线, 遍布
vi. 小心地通过, 蜿蜒前进, 滴下成丝状"
tendency," n. 趋势,倾向"
telescope," n. 望远镜
v. 缩短, 压缩"
target," n.（服务的）对象； 目标； （射击的）靶子； 目的
vt.瞄准； 把…作为攻击目标"
tannin, n. 单宁酸
tactic," n. 战略,策略
adj. 战术的,有策略的"
synthetic," adj. 综合的,合成的,人造的
n. 人工制品"
switch," n. 开关, 电门，闸，转换器,
vt. &vi. 鞭打，转轨，交换，突然转变, 摆动，接通或切断…电流"
substitute," n. 代替者,代用品
v. 代替
vi. (for)代替
vt. 用...代替,代以"
stimulus," n. 刺激, 激励, 刺激品"
squash," n. 壁球,摺皱不堪,拥挤嘈杂的人群,浓缩果汁,美国南瓜 
vt. 压扁,压制 
vi. 变扁,压榨"
solve," v. 解答(难题),解决
vt. 解答,解决"
solo," n. 独奏,独唱
adj. 单独的
adv. 单独地
vt. &vi. 放单飞, 单独表演"
solitary," adj. 孤独的,独立的,荒凉的
n. 隐士,"
slip," vi.滑，滑脱； 犯过失，出错； （时间）不知不觉地过去； （健康状况等）变差
vt.使顺利滑动； 摆脱； 放松，松开
n.跌倒，失足； 纸条； 失误，口误； 事故
adj.滑动的； 可拆卸的； 打有活结的"
simplify," v. 简化, 使单纯
vt. 简化"
silica, n. 硅石，矽土
scatter," n. 散布, 零星少量
vt. 驱散, 散播
vi. 分散, 消散"
silent," adj. 安静的,不吵闹的,沉默的,无言的
n. (复数)默剧"
shelf," n. 架子,搁板(状物),岩棚"
separation," n. 分离, 分居, 缺口"
seldom," adv. 很少
adj. 很少的"
secure," adj.安全的； 牢固的； 有把握的； 安心的
vt.保护； （使）获得； 使安全； 担保
vi.获得安全，变得安全； 安全，保险； 承保，担保； [航海学]停止工作"
scratch," n. 抓痕,抓的声音,乱写
vt. &vi. 搔痒,抓,抹掉
adj. 使皮肤发痒的，潦草的"
score," n.得分； 分数； 总谱； 20个
v.得分； 记分； 评分； 获得胜利"
satiric," adj. 讽刺的,挖苦的"
sandy," adj. 沙的, 沙地的, 多沙的
     沙色的
     不稳固的"
resolution, n.决心； 解决； 坚决； 分辨率
resolve," n. 决定之事,决心,坚决
vt. 决定,解决,分离,表决
vi. 分离,决定"
repeat," n. 重复,反复
vt. 重复,复述
vi. 重复
adj. 重复的,反复的"
refuse," n.废物,垃圾
vt. &vi. 拒绝
adj. 无用的"
rancher," n. 大牧场工人, 大牧场主"
ranch, n. 牧场
railway," n. 铁路
v. 由铁道运输"
quilt," n. 被子,被状物
vt. 缝被, 缝制, 用垫料填塞
vi. 制作被子, 做缝制工作"
pump," n. 抽水机, 打气筒, 心脏, 抽水, 轻软舞鞋
vt. 抽水, 打气, 用泵输送, 盘问, 涌出
vi. 用泵抽水, 快速上下(或内外)运动"
protein," adj. 蛋白质的
n. 蛋白质"
proponent," n. 建议者,支持者"
pronounce," vt.& vi. 发音,宣告,断言,发表意见"
promise," n. 诺言, 约定, (有)希望，预示
v. 允诺, 约定, 预示, 有可能"
prolific," adj. 多产的, 作品丰富的"
profound," adj. 极深的,深奥的,深厚的,严重的"
prime," adj. 最初的,首要的,最好的，典型的
n. 青春,壮年,全盛时期
vt. 事先指点,在（金属、木材等上）打底漆 
vi. 变得首要"
primal," adj. 最初的, 原始的，最主要的，根本的"
presentation," n. 陈述, 介绍, 赠与
n. [美]讲课, 报告"
precipitation," n. 坠落, 沉淀, 凝结; 冰雹"
precious," adj. 宝贵的,珍贵的,矫揉造作的
adv. 极其地"
prairie, n. 大草原
pond," n. 池塘
vt. 堵河成湖
vi. 形成池塘"
pile," n. 堆,桩,大量,核反应堆
vi. 形成堆,拥挤进入
vt. 堆积,装载"
phonograph," n. 留声机,电唱机,蜡管留声机
v. 灌入留声机"
penicillin, n. 青霉素
penetrate," vt. &vi. 穿透,渗透,看穿"
pack," n. 包裹,一群,一副,一帮,一群
vt. 包装,捆扎,塞满, 收拾行李， 佩戴
vi. 包装，（用某物）保存，保藏 ,塞进"
oxide, n. 氧化物
overall," adj. 全部的, 全体的, 一切在内的
adv. 总的来说, 全部地
n. 防护服，罩衫"
ornament," n. 装饰,装饰物
vt. 装饰"
ornamental," adj. 装饰的
n. 装饰品"
odd," adj. 奇数的,古怪的,剩余的
. 奇数"
obstacle," n. 障碍,绊脚石"
observe," v. 观察, 遵守, 注意到"
observer, n. 观察者
neutral," adj. 中立的,中性的
n. 中立者,空挡的,素净色"
mystery," n. 神秘,秘密,神秘的人或事物"
mysterious," adj. 神秘的,不可思议的"
military," adj.军事的；军用的；讨厌的；好战的
n.军人；军队；武装力量"
metropolitan," n. 大都市的居民,大主教,母国的居民
adj. 大都市的,大主教区的,母国的"
meteoric," adj. 流星的, 昙花一现的，大气的"
marble," adj. 大理石的,冷酷的
n. 大理石
vt.使有大理石的花纹"
liter," n. 升, 公升(容量单位)
=litre(英)"
linen," n. 亚麻布,亚麻线,亚麻制品
adj. 亚麻布制的,亚麻的"
leisure," n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
laser, n. 激光
kettle," n. 水壶,坑穴"
interval," n. 间隔,休息时间, (数学)区间, (音乐)音程"
instinctive," adj. 本能的, 天性的，直觉的"
instinct," n. 本能, 天性, 直觉"
incubate," v. 抱,孵,培养
v. 孵蛋,筑巢,孵化"
incubator," n. 孵卵器,细菌培养器,早产儿保育器"
incise, vt. 切入，切割，雕刻
impose," vi. 利用；欺骗；施加影响
vt. 强加；征税；以…欺骗"
implement," n. 工具, 器具; 当工具的物品
vt. 实施, 执行; 向...提供工具(或手段)"
ignore," vt. 不顾,不理,忽视"
humorous," adj. 幽默的, 诙谐的"
homestead," n. 家园, 田产"
grant," vt.承认； 同意； 准许； 授予
n.拨款； 补助金； 授给物（如财产、授地、专有权、补助、拨款等）
vi.同意"
fund," n.基金； 储备； 现款； 特别基金管理机构
vt.积存； 为…提供资金； 提供资金偿付（债款等）的本息； 把（短期借款）转为有固定利息的长期借款"
frighten," v. 使惊吓, 惊恐"
foster," adj. 收养的,养育的
v. 养育,抚育,培养
n. (Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特"
fold," vt. 折叠；合拢；抱住；笼罩
n. 折痕；信徒；羊栏
vi. 折叠起来；彻底失败"
flour," n. 面粉
vt. &vi. 研成粉末"
fin," n. 鳍,鱼翅,鳍状物,散热片,五元纸币
vt. 装上鳍片
vi. 露鳍于水面,拍动鳍, 象鱼一样游泳"
fingerboard, n. 键盘(指板)
exploit," n. 功绩,勋绩
vt.&vi. 开发,利用,开拓"
erect," adj. 直立的,竖立的,笔直的
v. 竖立,使...直立,建筑"
equivalent," adj. 等价的, 相等的
n. 相等物"
enterprise," n. 企业,企划,进取心"
election, n. 选举
elect," n. 当选人, 被选的人, 上帝的选民
adj. 被选的, 选出的
v. 选举, 选择"
displace," v. 移置, 替换"
direct," adj. 笔直的,直接的,坦白的
vt. 指挥，命令，负责
vi. 指导，指出"
directional, adj. 方向的
devote," vt. 投入于,献身"
determination," n. (正式)决定,规定,决心,测定, 定位"
deliberate," adj. 故意的,深思熟虑的, 从容不迫的
vi. 仔细考虑
vt. 研讨"
deficiency," n. 缺乏,不足,缺点"
defend," vt. &vi. 防护,辩护,防卫"
curve," n. 曲线,弯曲,曲球
vt. 使...弯曲
vi.弯曲"
cord," n. 绳索,束缚
vt. 用绳索绑"
coral," adj. 珊瑚(色)的
n. 珊瑚"
controversial," adj. 引起争论的,有争议的"
controversy," n. (公开的)争论,争议"
dense," adj. 不易看透的, 密集的, 浓厚的, 愚钝的"
committee, n. 委员会
collision," n. 碰撞, 冲突"
cluster," n. 串,丛,群
v. 聚合,成串,丛生,使...聚集"
cliff," n. 悬崖, 峭壁"
cargo," n. 船货, 货物"
capture," n. 抓取,战利品,捕获之物
vt. 抓取,获得,迷住"
calendar," n. 日历,月历,日程表
vt. 进入日历"
calcium, n. 钙
butter," n. 黄油,阿谀奉承
vt. 涂黄油"
blow," n. 吹；打击；殴打
vi. 风吹；喘气
vt. 风吹"
bit," n. 一点儿,少量
n. 钻头,马嚼子,辅币
n. 位,比特(二进位制信息单位)
v. 控制"
biography, n. 传记
battle," n. 战斗,争论
vt. &vi. 与...作战;与...斗争"
basalt, n. 玄武岩
assert," vt. 主张,声明,断言"
array," n. 数组,(陈)排列,大批,一系列
vt. 排列,布署,打扮"
antibiotic," adj. 抗菌的
n. 抗生素"
affection," n. 慈爱,爱,感情"
accustom, v. 使...习惯
abstract," n. 摘要,抽象的东西
adj. 抽象的,理论的
vt. 移除,摘要,偷
vi. 做摘要"
witness," vt. 目击,见证, 出席, 观察, 经历
n. 目击者,证人
vi. 为(宗教信仰)做见证, 证明"
ward," n. 守卫, 监护, 病房, 行政区, 由监护人或法院保护的人（尤指儿童）
vt. 守护, 躲开"
vehicle," n. 传播媒介, 工具, 手段, 交通工具, 车辆;"
unity," n. 个体, 一致, 结合"
unit," n. 单位, 单元"
tunnel," n. 隧道,地下道
v. 挖隧道"
tremendous," adj. 巨大的, 惊人的"
translucent, adj. 半透明的
tongue," n. 舌头,语言,口条,语言,说话方式
vt. 舔,闲谈,斥责
vi. 吹乐器"
thoroughly, adv. 彻底地
temporary," adj. 暂时的,临时的
n. 临时工"
temporarily," adj. 临时的
adv. 暂时地,临时地"
tectonic," adj. 筑造的，建筑的，构造的
【地】地壳构造的"
systematic," adj. 有系统的, 分类的, 体系的"
swept, 动词sweep的过去式和过去分词形式
surpass," vt. 超越,凌驾,胜过"
sulfur," n. 硫
vt. 用硫处理液化"
sulfuric," adj. [化] 硫磺的, 含硫的"
strike," n. 罢工, 打击, 殴打
v. 打, 撞, 罢工, 划燃"
statistic, n. 统计数值
sponsor," n. 保证人, 赞助者
v. 发起, 赞助"
spinal," adj. 针的, 尖刺的, 尖刺状突起的
adj. 脊骨的, 脊髓的"
spectacular," adj. 壮观的, 令人惊叹的
n. 惊人之举, 壮观的表演或影视作品"
span," n.共轭（马、骡）； 跨度，墩距； 一段时间； [航] 跨绳
vt.缚住或扎牢； 跨越时间或空间； 以掌测量； 以手围绕测量类似测量"
slab," n. 平板, 厚的切片
v. 切成厚板, 以平板盖上"
senate," n. 参议院,上议院"
segment," n. 部分
v. 部分,段,分割
vt. 分割"
secrete," v. 隐秘, 隐藏, 隐匿
v. 分泌"
rhythm," n. 节奏,韵律"
relevant," adj. 相关的, 切题的, 中肯的"
reasonable," adj. 合理的,有道理的,适度,通情达理的
adv. 合理地"
realm," n. 王国,领域"
rail," n. 栏杆,铁轨,扶手
vt. 以横木围栏,铺铁轨
vi. 责骂, 抱怨"
putrefy, v. 使腐烂
presumably," adv. 推测上,假定上,大概"
postage," n. 邮费, 邮资已付邮戳"
poetry, n. 诗歌
pipeline," n. 管道, 管线"
peripheral," adj. 不重要的,外围的
n. 外围设备"
periphery," n. 周边(边缘,圆周,圆柱体表面)"
orbit," n.势力范围, 眼眶, 轨迹
vt. 绕轨道而行, 进入轨道
vi. 盘旋"
optimal," adj. 最佳的, 最理想的"
notion," n. 观念,想法,主张"
mule," n. 骡子,固执的人，走私毒品者"
mound," n. 土墩, 堤, 小山
v. 筑堤, 用土堆防卫"
monument," n. 纪念碑,历史遗迹"
monumental," adj. 纪念碑的，作为纪念的, 不朽的"
mold," n. 模子,模型,类型,模式,雏型,真菌,软土
vt. 形成,形成,制模,发霉
vi. 符合形状,发霉"
pebble," n. 鹅卵石
n. 水晶, 水晶透镜
v. 用卵石铺,用卵石投掷,使有卵石纹"
patch," n. 片,补丁,碎片
vt. 补缀,掩饰,平息"
patchy," adj. 斑驳的, 不调和的, 不完整的, 拼凑的"
parallel," adj. 平行的,相同的,类似的,并联的
adv. 平行地
n. 平行线(面),相似物,对比
vt. 相比,相应,与...平行"
pale," n. 尖木桩,栅栏,界限
adj. 苍白的,暗淡的,弱的,浅色的
vi. 变得苍白,变得暗淡
vt. 使苍白"
palace," n. 宫殿
adj. 宫殿的,殿堂级的"
ore," n. 矿, 矿石"
mobility," n. 可动性, 变动性, 情感不定"
mature," adj. 成熟的, 到期的, 充分发育的, 考虑周到的
vt. 使...成熟, 长成
vi. 长成, 成熟; 到期"
maritime," adj. 海的, 海上的, 海事的"
maple, n. 枫树
magnesium, n. 镁
limb," n. 树枝,四肢,枝干,边缘
vt. 切断手足,切断树干"
laden," adj. 充满的, 负载的
动词lade的过去分词"
invasion," n. 侵入, 侵略"
interstellar, adj. 星际的
interfere," vi. 妨碍,冲突,干涉"
intercity, adj. 城市间的
intelligence," n. 理解力, 智力, 情报, 情报工作, 情报机关"
intelligent," adj. 聪明的, 智能的"
integrate," v. 整合, 使...成整体"
intact," adj. 尚未被人碰过的,原封不动的,完整的, 完好无缺的"
insulation," n. 隔离, 孤立, 绝缘"
inscribe," v. 题写，铭刻于，题赠
（英）登记
[数] 使内接"
incursion," n. 侵犯, 入侵"
income," n. 收入,所得"
inclination," n. 倾向, 意愿, 倾斜度"
incentive," adj. 刺激的, 鼓励的
n. 刺激, 鼓励, 动机"
hemlock," n. 毒胡萝卜, 铁杉"
hemisphere, n. 半球
hawk," n. 鹰,掠夺别人的人,鹰派人物
n. 清嗓
v. 用训好的鹰捕猎,像鹰一般地袭击,鹰啸，清嗓
v. 沿街叫卖"
glow," n. 赤热,光辉,热情
vi. 发红光,红光焕发"
fungal, adj. 真菌的，由真菌引起的
frozen, adj. 冰冻的
foul," adj. 恶臭的,污秽的,邪恶的,下流的
vt. 弄脏,妨碍,污蔑,阻塞,犯规
vi. 腐败,犯规
adv. 不正当地
n. 缠绕,犯规"
formidable," adj. 强大的, 可怕的, 难对付的"
feasible," adj. 可行的,可能的"
exclusively," adv. 排他地(独占地,专门地,仅仅,只)"
exchange," n. 交换,交换物,汇兑,交易所
vt. &vi. 交换,交易,兑换"
ethology," n. 动物行动学, 道德体系学"
epoch, n. 时期，时代，新纪元，划时代的大事，世
enthusiastic," adj. 热情的, 热心的"
enthusiasm, n. 热心，热忱，热情
endless," adj. 无止境的, 没完没了的"
dull," adj. 呆滞的,迟钝的,无趣的,钝的,暗的
vt. 使变钝
vi. 变钝"
dozen," n. (一)打,十二个
adj. 一打的, 十二个的"
disseminate," vt. 散播, 公开, 宣传"
diminish," vt. 减少,变小, 减损
vi. 变少, 逐渐变细"
deterioration," n. 恶化,降低,退化"
descendant," n. 子孙, 后代"
crab," n. 蟹
v. 捕蟹，使横行
n. 爱争吵的人
n. [植]山楂子
v. 批评，抱怨"
council," n. 理事会,委员会, 商议"
convince," vt. 说服, 使...相信"
convenient, adj. 方便的
convenience," n. 适宜，便利, 便利设施，方便的时间，舒适"
contraction," n. 收缩, 缩写式, 痉挛"
complain," vi. 抱怨,悲叹,控诉"
compensation," n. 补偿, 赔偿; 赔偿金, 物"
compensate," vt. &vi. 偿还,补偿,付报酬"
commonplace," adj. 平凡的, 陈腐的
n. 常事, 老生常谈, 普通的东西"
combustible," adj. 易燃的, 燃烧性的，易激动的
n. 燃质物, 可燃物"
combustion, n. 燃烧
cohesive," adj. 粘性的(有结合性的, 有粘聚性的)"
cohesion," n. 凝聚力, 团结"
cement," n. 水泥,纽带,接合剂,牙骨质,补牙物,基石
vt. 接合,用水泥涂
vi. 接合起来"
bud," n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
broadside," n. 机身侧部, 宽边, 全部舷炮
adv. 舷侧着, 无目标地, 胡乱地
adj. 用侧面的
vt. 用整个侧面撞击或碰撞"
brilliance," n. (色彩)鲜明, 光辉, 辉煌"
botanical," adj. 植物学的，植物的
n. 植物制剂"
botany, n. 植物学，植物
botanist, n. 植物学家
biotic," adj. 生命的，生物的
suf. 表示“生存方式”"
assign," v. 分配,指派
n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符"
archaic," adj. 已不通用的, 古老的, 古代的"
arbitrary," adj. 任意的, 专制的, 武断的, 霸道的"
alien," n. 外侨;外星人
adj. 外国的,相异的，陌生的
vt. 转让"
accomplish, vt. 完成
worm," n. 虫,蠕虫
vt. 蠕动,驱虫,慢慢探听出
vi. 蠕动"
word," n. 词, 单词, 消息, 诺言
vt. 用词语表达"
woolly," adj. 羊毛制的, 似羊毛的, 蓬乱的
n. 羊毛制品"
wonder," n. 惊奇；奇迹；惊愕
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶
adj. 奇妙的；非凡的"
withdraw," vt. 撤回,取回,撤退
vi. 退回,撤退"
withdrawal," n. 撤退,退回,取消"
weed," n. 杂草,菸草
vi. 除草
vt. 除草,摆脱"
wedge," n. 楔子,楔形物
vt. 楔住,嵌,挤进
vi. 被卡住"
vivid," adj. 生动的,强烈的,鲜艳的,清晰的,逼真的"
Vancouver, n. 温哥华市(温哥华)
upcoming," adj. 即将来临的, 预定将要"
transparent," adj. 透明的, 明显的, 清晰的"
tolerate," v. 忍受,容忍,容许,宽恕
vt. 容忍,忍受,容许"
tolerance," n. 忍耐力,宽容,容忍,公差"
evident," adj. 明显的, 明白的"
drag," n. 用来拖拉的东西,拖,拖累
vt. 拖累,拖拉(动)
vi. 拖拉(动),缓慢地行走"
dispersal," n. 散布, 传播, 分散，疏散区"
delicate," adj. 细致优雅的,微妙的,美味的
adj. 淡色的,淡味的
adj. 娇弱的,纤细的"
crisis," n. 危急关头,危机"
conserve," n. 蜜饯,果酱
vt. 保存,与糖放在一起,保持"
cease," n. 停止
vt. &vi. 停止,终了"
balance," n. 天平, 平衡, 差额, 平静, 调和, 制衡
vt. 使平衡, 称重量, 权衡, 抵消
vi. 建立平衡, 均衡"
altitude," n. 高度,海拔,高地"
adult," adj. 成年的,成人的，成熟的
n. 成年人"
adequate," adj. 足够的, 充足的, 适当的, 能胜任的"
inadequate," adj. 不充分的,不适当的"
absorb," v. 吸收,吸引...的注意,使全神贯注"
absorption," n. 吸收,全神贯注"
wheel," n. 轮子,周期,旋转运动
vi. 旋转,转动
vt. 推或拉车,传送,打圈,装以车轮"
roughly," adv. 概略地,粗糙地,粗鲁地"
rough," adj.粗糙的，崎岖不平的； 粗鲁的； 狂暴的，汹涌的； 未经加工的
vt.粗暴地对待； 使粗糙； 草拟
n.粗糙的部分； 艰难，苦难； （高尔夫球场的）深草区
adv.粗暴地
vi.举止粗野"
rigid," adj. 僵硬的,刻板的,严格的"
republic," n. 共和国,共和政体"
rely," v. 信赖,倚赖,信任"
reliance," n. 信赖,所信赖的人或物"
reformer," n. 改革家, 改革运动者"
pose," n. 姿势,姿态,装模作样
vt. 提出(问题),引起,定格
vi. 摆姿势,装模作样"
plastic," adj. 塑料的, 可塑的, 体态好的
n. 塑料,(外科)整形的,信用卡"
tablet," n. 药片, 匾, 片状物"
symptom," n. 症状, 征兆"
sustain," vt. 承受, 支持, 经受, 维持"
strip," vi.剥光； 表演脱衣舞； 剥除
vt.除去，剥去； 剥夺； 删除； 清除，拆除
n.长条，条板； 带状地带（或森林、湖面等）； （足球队员的）运动服"
split," n. 劈开, 裂片, 裂口
adj. 分散的
v. 分离, 分开, 劈开"
spin," n. 旋转, 疾驰
v. 纺织, 旋转, 拉长"
scarce," adj. 缺乏的,不足的,稀少的,罕见的
adv. 勉强"
occupy," vt. 占领,占,住进"
occupational, adj. 职业的
Norwegian," n. 挪威人, 挪威语
adj. 挪威的, 挪威人的, 挪威语的"
noticeable, adj. 显而易见的
mixture," n. 混合, 混合物"
mix," n. 混合(物),融合
vt. &vi. 混合,掺入,合成,交往,联系
[计算机] 混合"
medium," n. 媒体, 方法, 媒介
adj. 适中的, 中等的"
massive," adj. 巨大的, 大规模的, 大量的, 大范围的"
margin," n. 差额,利润,页边空白,边缘
vt. 使围绕于,加边缘"
planet, n. 行星
phase," n. 相, 相位,时期,局面,阶段
v. 逐步执行,实行,按计划进行"
partially," adv. 部份地, 一部份地, 不公平地"
parasite," n. 寄生虫,寄生生物，食客"
panel," n.镶板； 面； （门、墙等上面的）嵌板； 控制板
vt.选定（陪审团）； 把…分格； 在…上置鞍垫； 把…镶入框架内"
offshore," adj. 海面的,吹向海面的
adv. 向海面"
odor," n. 气味,名声,气息"
innovation," n. 创新, 革新"
innovate," v. 改革, 创新"
immune," adj. 免除的,免疫的
n. 免疫者"
hole," n. 孔,洞,穴
vt. &vi. 挖洞,掘坑,进洞"
hinterland, n. 海岸的后部地方(穷乡僻壤)
Harlem," n. 黑人住宅区, 哈莱姆区"
Greek," adj. 希腊(人)的
n. 希腊人,希腊语"
freight," n. 船货,运费,货运
vt. 装货,运送,使充满（某种心情或口气）"
log," n. 记录,圆木,日志,计程仪
vt. 伐木,切,记录,航行,度过(时间)
vi. 采伐"
legislation," n. 立法, 法律"
latter," adj. 后面的,后者的
pron.&amp;n. 后者"
latitude," n. 纬度，界限,自由选择权"
invent," v. 发明
vt. 发明,创造"
inventor, n. 发明家，创造者
invention," n. 发明,发明物,虚构,虚构物"
interact," vi. 相互作用,相互影响"
interaction," n. 相互作用, 相互影响"
instance," n.例子，实例； 情况； 要求，建议； [法]诉讼手续
vt.举…为例"
fragile," adj. 易碎的,脆的,精细的"
forage," n. 粮草, 饲料, 搜寻粮草
v. 喂, 掠夺"
forecast," n. 预测,预报
vt. &vi. 预测"
flourish," vi. 繁荣,茂盛,活跃,手舞足蹈
vt. 挥舞
n. 挥舞,华丽词藻,茂盛,兴旺,炫耀"
flexible," adj. 灵活的,易弯曲的,柔韧的,可变通的"
finch, n. 雀类
equal," adj. 相等的,平等的,胜任的
n. 对手,匹敌,同辈
vt. 等于,比得上"
equally," adv. 相等地, 同样地, 平等地"
encounter," n. 意外的相见,遭遇
vt. &vi. 遇到,偶然碰到,遭遇"
enclose," vt. 围绕, 圈起, 放入封套, 附上
[计算机] 括入"
embryo," n. 胚胎,萌芽"
eliminate," v. 除去,排除,剔除
[计算机] 消除"
earthquake, n. 地震
detect," vt. 发现,探测信息,侦查
vi. 当侦探"
detectable," adj. 可发现的(可察觉的,可探测出的,可检波的)"
cosmic, adj. 宇宙的，广大无边的，无限的
convert," v. 使转变, 使...改变信仰, 倒置
n. 皈依者, 改宗者"
confine," vt. 限制,闭居
n. 边界, 约束, 范围, 限制"
collide," vi. 碰撞,互撞,砥触"
chip," n. 薄片,碎屑，芯片
vt. 削,切,削成碎片
vi. 折断成碎片"
capacity," n. 能力, 容量, 容积; 资格, 职位
adj. (达到最大容量)满的"
canoe," n. 独木舟, 轻舟
v. 乘独木舟"
candidate," n. 候选人, 求职者"
butterfly," n. 蝴蝶,蝶状物,蝶泳
vt. (烹饪时把鱼肉等）切开摊平"
bubble," n. 泡沫, 气泡, 幻想, 骗局, 欢乐
vi. 起泡, 出现, 洋溢
vt. 使冒泡"
bronze," adj. 青铜色的
n. 青铜, 青铜色, 青铜制品, 铜牌(第三名)
vt. 使成青铜色"
bill," n.账单； 钞票； 清单； 广告
vt.安排； 给…开账单； 为…发提（货）单； 把…登录在账
vi.鸟嘴相接触"
beam," n. 光线，电波，横梁，容光焕发
vt. 发出（光、电、热、信号）；为……上梁
vi. 微笑；发光"
bake," vt. 烘焙,烤
vi. 烘焙,烤,变得炎热
n. 烘焙,烤"
attain," vt. &vi. 达到,获得"
appreciate," vt. 欣赏,感激,赏识
vt. 领会，充分意识
vi. 增值"
appreciation," n. 赏识, 鉴识, 感激"
appreciable," adj. 可感知的, 可评估的，很可观的"
aid," n. 帮助,救护,辅助物
vt. &vi. 援助,帮助,救护
abbr.=Agency for International Development 国际开发署[美]"
agent," n. 代理人，代理商；药剂；特工；动力
vt. 由…作中介；由…代理
adj. 代理的"
withstand," vt. 对抗,经得起,承受"
vision," n. 视觉,先见之明,光景,视力,眼力,幻想，影像
vt. 幻想"
value," n. 价值, 重要性, 价格, (pl)价值观
vt. 评价, 估价, 重视"
urge," n. 冲动
vt. 驱策,鼓励,力陈,催促
vi. 极力主张"
turnpike," n. 收税路(公路,高架桥)"
tide," n. 潮,趋势,潮流
vt. 使...随潮漂流
vi. 涌动"
termite, n. 白蚁
succession," n. 连续, 继承权, 继位"
successive," adj. 接连的, 连续的, 接二连三的"
strain," n. 张力；拉紧；负担；扭伤；血缘
vi. 拉紧；尽力
vt. 拉紧；滥用；滤去；竭力"
